nconst,primaryName,birthYear,deathYear,primaryProfession,knownForTitles
nm11047153,Fresh 'n' Funky,,,,tt0396384
nm11047154,Anja Gölz,,,,tt0396384
nm11047155,Enflame,,,,tt0396384
nm11047156,Suzanne Zahnd,,,writer,"tt30787664,tt0103904,tt1025770,tt4683652"
nm11047157,Deniz Ülkü,,,"actress,manager","tt11100666,tt19636762,tt32146218"
nm11047158,Akira Mori,,,actress,tt11100666
nm11047159,Kazuya Nagaya,,,composer,"tt15434984,tt11100666"
nm1104716,Nicholas Blincoe,,,writer,"tt0884768,tt1764285,tt0259733,tt1795016"
nm11047160,Anil Tasdemir,,,,"tt11098104,tt11092360,tt15204372,tt11285524"
nm11047161,Egor Timofeyev,,,actor,tt11097700
nm11047162,Sevki Çinar,1995.0,,,"tt11328192,tt11312224,tt11285524,tt11098104"
nm11047163,Fisera Tomas,,,actor,"tt2450646,tt11097710"
nm11047164,Johan Wang,,,writer,"tt11097716,tt16282790,tt11269378"
nm11047165,Niels Lindberg,,,"writer,producer","tt11097716,tt21945312,tt13926902,tt11269378"
nm11047166,Leonie Goldsmith,,,,tt1927826
nm11047167,Heiko Pulcher,,,,tt0396384
nm11047169,Poul Christian,,,,tt0459688
nm1104717,Anna-Clara Blixt,1972.0,,actress,"tt0353962,tt0483195,tt0302622"
nm11047170,Reginald Robinson Jr.,,,actor,tt4655480
nm11047171,Herrmann-Michael Hahn,,,,tt0396384
nm11047172,Dirk Schwarzer,,,,tt0396384
nm11047173,Nicolas Viasnoff,,,,tt0197138
nm11047174,Jacques Borge,,,,"tt0197138,tt4746374"
nm11047175,André Le Vot,,,,tt0197138
nm11047176,Erik Schuten,,,actor,tt11097750
nm11047177,Harry Töben,,,writer,tt11097750
nm11047178,Dolf de Vries,,,composer,tt11097750
nm11047179,Marjolein Eilander,,,editor,"tt11097750,tt19681710"
nm11047180,Xavier Pouvreau,,,"miscellaneous,writer,director","tt34797782,tt33368591,tt34786873,tt6063938"
nm11047181,Isabelle Faucheux,,,producer,tt11097752
nm11047182,Frédérick Guerin,,,editorial_department,tt11097752
nm11047183,Sylvie Bleckmans,,,,
nm11047184,Fernand Braudel,,,"writer,producer","tt1438535,tt37255720,tt15472432,tt0197138"
nm11047187,Alexia Jagerson,,,,
nm11047188,Katja Reinauer,,,,tt0396384
nm11047189,Elise Wolf,,,actor,"tt2261391,tt13927690,tt11603228"
nm11047190,In2deep,,,,tt0396384
nm11047191,Klaus Schubert,,,,"tt0862613,tt0396384"
nm11047192,Claudia Metz,,,,"tt0862613,tt0396384"
nm11047193,Pobitro Chatterjee,,,"writer,producer","tt28028421,tt29168798,tt15181490"
nm11047194,Apoorva Sharma,,,"set_decorator,art_department","tt6277462,tt7529298,tt14152140,tt10305616"
