tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres
tt4168888,tvEpisode,Red Dawn,Red Dawn,0,2013.0,,,Documentary
tt4168890,tvEpisode,Episode #1.5,Episode #1.5,0,2015.0,,,Adventure
tt4168892,tvEpisode,Episode #1.10,Episode #1.10,0,2014.0,,,Comedy
tt4168894,tvEpisode,Episode #1.6,Episode #1.6,0,2015.0,,,Adventure
tt4168896,tvEpisode,Me he criado solo,Me he criado solo,0,2004.0,,,
tt4168898,tvEpisode,Stalker,Stalker,0,2014.0,,,"Comedy,Drama,Romance"
tt4168902,tvEpisode,The Looking Glass War,The Looking Glass War,0,2013.0,,,Documentary
tt4168904,tvEpisode,Two Tribes,Two Tribes,0,2013.0,,,Documentary
tt4168906,tvEpisode,Episode dated 14 June 2004,Episode dated 14 June 2004,0,2004.0,,,"News,Talk-Show"
tt4168910,tvEpisode,6 A.M.,6 A.M.,0,2014.0,,42.0,"Crime,Drama,Fantasy"
tt4168912,movie,Recycle This Movie,Recycle This Movie,0,,,,Comedy
tt4168914,tvEpisode,Episode #1.8,Episode #1.8,0,2014.0,,48.0,Talk-Show
tt4168916,short,Every Body Is a Book of Blood,Every Body Is a Book of Blood,0,2014.0,,,"Music,Short"
tt4168918,tvEpisode,Episode dated 15 June 2004,Episode dated 15 June 2004,0,2004.0,,,"News,Talk-Show"
tt4168920,tvEpisode,Episode dated 15 June 2004,Episode dated 15 June 2004,0,2004.0,,,
tt4168924,tvEpisode,Makikilala ni Pepe si Consuelo Ortiga,Makikilala ni Pepe si Consuelo Ortiga,0,2014.0,,,Drama
tt4168926,tvEpisode,Episode dated 16 June 2004,Episode dated 16 June 2004,0,2004.0,,,
tt4168930,tvSeries,Nail'd It!,Nail'd It!,0,2014.0,,,Game-Show
tt4168932,movie,No More Mr Nice Guy,No More Mr Nice Guy,0,2018.0,,,"Action,Thriller"
tt4168934,tvEpisode,Pumpkin,Pumpkin,0,2014.0,,,News
tt4168936,movie,True Giants,True Giants,0,2014.0,,109.0,"Action,Documentary,Sport"
tt4168938,tvEpisode,Super Bowl Snacking,Super Bowl Snacking,0,2014.0,,,News
tt4168942,tvSeries,Lidia's Italy in America,Lidia's Italy in America,0,2011.0,2013.0,,Talk-Show
tt4168944,short,Un cuento de Hadas,Un cuento de Hadas,0,2014.0,,6.0,"Horror,Short"
tt4168946,tvEpisode,Episode dated 9 June 2004,Episode dated 9 June 2004,0,2004.0,,,Comedy
tt4168948,tvSeries,Robert Peston Goes Shopping,Robert Peston Goes Shopping,0,2013.0,,,Documentary
tt4168950,tvEpisode,"He mentido, traicionado y engañado. Lo reconozco. Soy una mujer infiel","He mentido, traicionado y engañado. Lo reconozco. Soy una mujer infiel",0,2004.0,,,
tt4168952,tvEpisode,Episode dated 18 June 2004,Episode dated 18 June 2004,0,2004.0,,,"News,Talk-Show"
tt4168954,tvEpisode,Episode dated 18 June 2004,Episode dated 18 June 2004,0,2004.0,,,
tt4168956,tvSeries,Wrecked,Wrecked,0,2016.0,2018.0,30.0,"Action,Adventure,Comedy"
tt4168958,tvEpisode,Episode dated 17 June 2004,Episode dated 17 June 2004,0,2004.0,,,"News,Talk-Show"
tt4168960,short,Confianza y Traición,Confianza y Traición,0,2014.0,,,"Short,Thriller"
tt4168962,short,False Perception,False Perception,0,2013.0,,5.0,Short
tt4168964,tvMiniSeries,Andrew Marr's Great Scots: The Writers Who Shaped a Nation,Andrew Marr's Great Scots: The Writers Who Shaped a Nation,0,2014.0,,,Documentary
tt4168966,tvEpisode,Superhero Origins: The Question,Superhero Origins: The Question,0,2014.0,,,"Comedy,Talk-Show"
tt4168968,tvSpecial,WWE Survivor Series,WWE Survivor Series,0,2014.0,,178.0,"Action,Sport"
tt4168970,tvEpisode,The Computer!,The Computer!,0,2014.0,,,Comedy
tt4168974,tvEpisode,Episode #1.136,Episode #1.136,0,,,,Drama
tt4168978,short,Nature Boy,Nature Boy,0,2014.0,,28.0,"Drama,Horror,Short"
tt4168982,short,Troubador,Troubador,0,2013.0,,5.0,"Drama,Short"
tt4168984,tvEpisode,Episode dated 3 November 2014,Episode dated 3 November 2014,0,2014.0,,,News
tt4168986,tvSeries,"WTF, Baron Davis","WTF, Baron Davis",0,2019.0,,,Comedy
tt4168988,tvEpisode,Episode #1.148,Episode #1.148,0,,,,Drama
tt4168990,tvEpisode,Episode dated 21 June 2004,Episode dated 21 June 2004,0,2004.0,,,
tt4168992,short,Treading Water,Treading Water,0,2011.0,,7.0,"Romance,Short"
tt4168994,tvEpisode,Episode #1.149,Episode #1.149,0,,,,Drama
tt4168996,tvEpisode,Episode #1.150,Episode #1.150,0,,,,Drama
tt4168998,tvEpisode,Episode dated 22 June 2004,Episode dated 22 June 2004,0,2004.0,,,
tt4169000,tvEpisode,Episode dated 21 June 2004,Episode dated 21 June 2004,0,2004.0,,,"News,Talk-Show"
tt4169002,tvEpisode,Episode #36.1,Episode #36.1,0,1999.0,,,Music
tt4169004,tvEpisode,Episode dated 22 June 2004,Episode dated 22 June 2004,0,2004.0,,,"News,Talk-Show"
tt4169006,tvEpisode,"Hijo, ¡perdóname!","Hijo, ¡perdóname!",0,2004.0,,,
tt4169008,tvEpisode,Episode dated 23 June 2004,Episode dated 23 June 2004,0,2004.0,,,Comedy
tt4169010,tvEpisode,Episode dated 16 June 2004,Episode dated 16 June 2004,0,2004.0,,,Comedy
tt4169012,tvEpisode,¿Por qué fijarse en mayores si los jóvenes están más buenos?,¿Por qué fijarse en mayores si los jóvenes están más buenos?,0,2004.0,,,
tt4169014,tvEpisode,Episode dated 23 June 2004,Episode dated 23 June 2004,0,2004.0,,,"News,Talk-Show"
tt4169016,short,A Spicy Dame,A Spicy Dame,0,2014.0,,3.0,"Comedy,Short"
tt4169022,tvEpisode,Episode dated 24 June 2004,Episode dated 24 June 2004,0,2004.0,,,"News,Talk-Show"
tt4169024,tvEpisode,Halloween Trick,Halloween Trick,0,2014.0,,2.0,Comedy
tt4169026,tvEpisode,Hijos problemáticos. Arruinado por mis propios hijos. ¡Cría cuervos!,Hijos problemáticos. Arruinado por mis propios hijos. ¡Cría cuervos!,0,2004.0,,,
tt4169028,tvEpisode,Episode dated 25 June 2004,Episode dated 25 June 2004,0,2004.0,,,"News,Talk-Show"
tt4169030,short,Post Script,Post Script,0,2014.0,,,"Drama,Short"
tt4169032,movie,Esprit De Corps,Esprit De Corps,0,2014.0,,94.0,Drama
tt4169034,tvEpisode,Episode dated 28 June 2004,Episode dated 28 June 2004,0,2004.0,,,
tt4169036,tvEpisode,Mark 6,Mark 6,0,2014.0,,64.0,Reality-TV
tt4169038,short,Awake,Awake,0,2014.0,,17.0,Short
tt4169040,tvEpisode,Using the Right Words,Using the Right Words,0,2014.0,,56.0,Reality-TV
tt4169042,tvEpisode,Episode #36.2,Episode #36.2,0,1999.0,,,Music
tt4169044,tvEpisode,Episode dated 29 June 2004,Episode dated 29 June 2004,0,2004.0,,,
tt4169046,tvEpisode,Episode dated 30 June 2004,Episode dated 30 June 2004,0,2004.0,,,
tt4169048,tvEpisode,Episode #1.12,Episode #1.12,0,2014.0,,55.0,"Adventure,Comedy,Fantasy"
tt4169056,tvEpisode,L Is for Likability,L Is for Likability,0,2015.0,,22.0,"Comedy,Romance"
tt4169058,tvEpisode,Episode #4.10,Episode #4.10,0,2014.0,,,Comedy
tt4169062,tvEpisode,Getting Along in Church and Marriage,Getting Along in Church and Marriage,0,2014.0,,63.0,Reality-TV
tt4169064,tvEpisode,M Is for Meant to Be,M Is for Meant to Be,0,2015.0,,22.0,"Comedy,Romance"
tt4169066,tvEpisode,The 28th Floor,The 28th Floor,0,2014.0,,43.0,"Crime,Documentary"
tt4169068,tvEpisode,Mark 7,Mark 7,0,2014.0,,39.0,Reality-TV
tt4169070,tvEpisode,Wedding Sermon on Psalm 23,Wedding Sermon on Psalm 23,0,2014.0,,12.0,Reality-TV
tt4169072,tvEpisode,Episode #18.10,Episode #18.10,0,2014.0,,,"Comedy,Game-Show"
tt4169074,movie,Automatic at Sea,Automatic at Sea,0,2016.0,,87.0,"Adventure,Drama,Mystery"
tt4169076,tvEpisode,Episode dated 30 June 2004,Episode dated 30 June 2004,0,2004.0,,,Comedy
tt4169078,tvEpisode,Pastor Anderson Rebukes Sodomites on ABC News,Pastor Anderson Rebukes Sodomites on ABC News,0,2014.0,,1.0,Reality-TV
tt4169080,tvEpisode,Episode dated 10 June 2004,Episode dated 10 June 2004,0,2004.0,,,
tt4169082,tvEpisode,Episode dated 2 June 2004,Episode dated 2 June 2004,0,2004.0,,,
tt4169084,tvEpisode,Episode dated 4 June 2004,Episode dated 4 June 2004,0,2004.0,,,
tt4169088,tvEpisode,Episode dated 8 June 2004,Episode dated 8 June 2004,0,2004.0,,,
tt4169090,tvEpisode,Episode dated 1 June 2004,Episode dated 1 June 2004,0,2004.0,,,
tt4169092,tvEpisode,Episode dated 3 June 2004,Episode dated 3 June 2004,0,2004.0,,,
tt4169094,tvEpisode,Episode dated 9 June 2004,Episode dated 9 June 2004,0,2004.0,,,
tt4169096,tvEpisode,Episode dated 7 June 2004,Episode dated 7 June 2004,0,2004.0,,,
tt4169098,tvEpisode,Episode dated 14 June 2004,Episode dated 14 June 2004,0,2004.0,,,
tt4169100,tvEpisode,Episode dated 11 June 2004,Episode dated 11 June 2004,0,2004.0,,,
tt4169102,short,Poems from Future Architects,Poems from Future Architects,0,2014.0,,10.0,"Biography,Documentary,Family"
tt4169104,tvEpisode,Episode dated 16 June 2004,Episode dated 16 June 2004,0,2004.0,,,
tt4169106,movie,The Runaway,The Runaway,0,2014.0,,120.0,"Crime,Drama,Western"
tt4169108,tvEpisode,Episode dated 15 June 2004,Episode dated 15 June 2004,0,2004.0,,,
tt4169110,tvEpisode,Episode dated 18 June 2004,Episode dated 18 June 2004,0,2004.0,,,
tt4169112,tvEpisode,Episode dated 23 June 2004,Episode dated 23 June 2004,0,2004.0,,,
tt4169114,tvEpisode,Episode dated 17 June 2004,Episode dated 17 June 2004,0,2004.0,,,
tt4169116,tvEpisode,Episode dated 22 June 2004,Episode dated 22 June 2004,0,2004.0,,,
tt4169118,tvEpisode,Episode dated 29 June 2004,Episode dated 29 June 2004,0,2004.0,,,
tt4169122,tvEpisode,Episode dated 21 June 2004,Episode dated 21 June 2004,0,2004.0,,,
tt4169124,tvEpisode,Episode dated 25 June 2004,Episode dated 25 June 2004,0,2004.0,,,
tt4169126,tvEpisode,Episode dated 30 June 2004,Episode dated 30 June 2004,0,2004.0,,,
tt4169128,tvEpisode,Episode dated 24 June 2004,Episode dated 24 June 2004,0,2004.0,,,
tt4169132,tvEpisode,Episode dated 28 June 2004,Episode dated 28 June 2004,0,2004.0,,,
tt4169134,tvEpisode,Místo narození,Místo narození,0,2014.0,,56.0,Drama
tt4169136,short,Rainbow Valley,Rainbow Valley,0,2014.0,,43.0,"Documentary,Family,History"
tt4169138,short,The Home Promised,The Home Promised,0,2014.0,,19.0,"Documentary,Drama,Family"
tt4169140,movie,La felicidad según Vicente Ferrer,La felicidad según Vicente Ferrer,0,2014.0,,,Documentary
tt4169142,tvEpisode,Episode dated 3 June 2004,Episode dated 3 June 2004,0,2004.0,,,"Reality-TV,Talk-Show"
tt4169144,tvEpisode,Episode #1.24,Episode #1.24,0,2013.0,,,News
tt4169146,movie,Give Me Liberty,Give Me Liberty,0,2019.0,,110.0,"Comedy,Drama"
tt4169148,tvEpisode,Episode dated 4 June 2004,Episode dated 4 June 2004,0,2004.0,,,"Reality-TV,Talk-Show"
tt4169150,tvEpisode,Episode dated 1 June 2004,Episode dated 1 June 2004,0,2004.0,,,"Reality-TV,Talk-Show"
tt4169152,tvEpisode,Episode dated 2 June 2004,Episode dated 2 June 2004,0,2004.0,,,"Reality-TV,Talk-Show"
tt4169154,short,Fordtacular Spectacular!,Fordtacular Spectacular!,0,2013.0,,2.0,"Animation,Short"
tt4169156,tvEpisode,Episode dated 10 June 2004,Episode dated 10 June 2004,0,2004.0,,,"Reality-TV,Talk-Show"
tt4169158,tvEpisode,Episode dated 7 June 2004,Episode dated 7 June 2004,0,2004.0,,,"Reality-TV,Talk-Show"
tt4169160,tvEpisode,Episode dated 8 June 2004,Episode dated 8 June 2004,0,2004.0,,,"Reality-TV,Talk-Show"
tt4169162,tvEpisode,Episode dated 1 June 2004,Episode dated 1 June 2004,0,2004.0,,120.0,
tt4169164,tvEpisode,Episode dated 9 June 2004,Episode dated 9 June 2004,0,2004.0,,,"Reality-TV,Talk-Show"
tt4169166,tvEpisode,Episode dated 9 June 2004,Episode dated 9 June 2004,0,2004.0,,120.0,
tt4169168,tvEpisode,Episode dated 7 June 2004,Episode dated 7 June 2004,0,2004.0,,120.0,
tt4169170,short,Linda Carson,Linda Carson,0,2014.0,,5.0,"Drama,Short"
