tconst,parentTconst,seasonNumber,episodeNumber
tt28024797,tt28022790,1.0,3.0
tt28024799,tt0451569,1.0,53.0
tt2802480,tt2350567,2.0,108.0
tt28024800,tt0451569,1.0,54.0
tt28024801,tt0451569,1.0,55.0
tt28024802,tt0451569,1.0,56.0
tt28024803,tt0451569,1.0,57.0
tt28024804,tt0451569,1.0,59.0
tt28024805,tt0451569,1.0,58.0
tt28024806,tt0479842,10.0,11.0
tt28024807,tt0451569,1.0,60.0
tt28024810,tt0862592,,
tt28024816,tt21073240,,
tt28024817,tt0764950,,
tt28024819,tt11841012,,
tt2802482,tt1019987,,
tt28024824,tt14589006,,
tt28024825,tt27678260,1.0,1.0
tt28024826,tt0764950,,
tt28024827,tt7555400,3.0,1.0
tt28024828,tt26928252,,
tt28024829,tt26928252,,
tt28024832,tt15191966,3.0,9.0
tt28024836,tt27172709,1.0,11.0
tt28024838,tt22393540,1.0,203.0
tt2802484,tt1019987,,
tt28024842,tt19362612,,
tt28024843,tt15561862,1.0,2.0
tt28024844,tt15561862,1.0,3.0
tt28024845,tt21356836,,
tt28024846,tt15561862,1.0,4.0
tt28024847,tt15561862,1.0,5.0
tt28024848,tt15561862,1.0,6.0
tt28024849,tt21356836,,
tt28024850,tt15561862,1.0,7.0
tt28024852,tt15561862,1.0,8.0
tt28024853,tt15561862,1.0,9.0
tt28024854,tt15561862,1.0,10.0
tt28024855,tt22393540,1.0,204.0
tt28024857,tt21359468,,
tt28024859,tt0451588,1.0,1.0
tt2802486,tt1019987,,
tt28024860,tt0870872,18.0,126.0
tt28024861,tt0451588,1.0,2.0
tt28024863,tt0451588,1.0,3.0
tt28024865,tt0451588,1.0,4.0
tt28024867,tt0451588,1.0,5.0
tt28024868,tt0451588,1.0,6.0
tt28024870,tt23549362,,
tt28024871,tt22393540,1.0,205.0
tt28024872,tt0451588,1.0,8.0
tt28024873,tt0451588,1.0,7.0
tt28024874,tt0451588,1.0,9.0
tt28024875,tt0451588,1.0,10.0
tt28024876,tt0451588,1.0,11.0
tt28024878,tt0451588,1.0,12.0
tt28024879,tt0451588,1.0,14.0
tt2802488,tt1019987,,
tt28024880,tt0451588,1.0,13.0
tt28024881,tt0451588,1.0,15.0
tt28024882,tt18271578,,
tt28024883,tt22393540,1.0,206.0
tt28024884,tt0451588,1.0,16.0
tt28024885,tt0451588,1.0,17.0
tt28024886,tt0451588,1.0,18.0
tt28024888,tt7583652,,
tt28024889,tt0451588,1.0,20.0
tt28024890,tt0451588,1.0,19.0
