tconst,ordering,nconst,category,job,characters
tt8973864,1,nm1352896,actress,,
tt8973864,2,nm7813726,actor,,
tt8973864,3,nm0215817,actress,,
tt8973864,4,nm7673029,actress,,
tt8973864,5,nm0699927,actor,,
tt8973864,6,nm7511702,actor,,
tt8973864,7,nm0840749,actress,,
tt8973864,8,nm7813726,director,,
tt8973864,9,nm7855794,writer,,
tt8973864,10,nm0422988,writer,,
tt8973868,1,nm0683501,actress,,"[""Salomé""]"
tt8973868,2,nm0016715,actor,,"[""Antunes""]"
tt8973868,3,nm0753762,actress,,"[""Berta""]"
tt8973868,4,nm0718320,actress,,"[""Santa""]"
tt8973868,5,nm0536495,actress,,"[""Mônica""]"
tt8973868,6,nm0140431,actor,,"[""Ruggero""]"
tt8973868,7,nm0046777,director,,
tt8973868,8,nm0743957,director,,
tt8973868,9,nm0422579,writer,,
tt8973868,10,nm0549790,writer,writer,
tt8973868,11,nm0681489,writer,novel,
tt8973868,12,nm0695351,writer,,
tt8973868,13,nm0480494,composer,,
tt8973870,1,nm1352896,actress,,
tt8973870,2,nm7813726,actor,,
tt8973870,3,nm0215817,actress,,
tt8973870,4,nm7673029,actress,,
tt8973870,5,nm0699927,actor,,
tt8973870,6,nm7511702,actor,,
tt8973870,7,nm0840749,actress,,
tt8973870,8,nm7813726,director,,
tt8973870,9,nm7855794,writer,,
tt8973870,10,nm0422988,writer,,
tt8973872,1,nm1352896,actress,,
tt8973872,2,nm7813726,actor,,
tt8973872,3,nm0215817,actress,,
tt8973872,4,nm7673029,actress,,
tt8973872,5,nm0699927,actor,,
tt8973872,6,nm7511702,actor,,
tt8973872,7,nm0840749,actress,,
tt8973872,8,nm7813726,director,,
tt8973872,9,nm7855794,writer,,
tt8973872,10,nm0422988,writer,,
tt8973874,1,nm1352896,actress,,
tt8973874,2,nm7813726,actor,,
tt8973874,3,nm0215817,actress,,
tt8973874,4,nm7673029,actress,,
tt8973874,5,nm0699927,actor,,
tt8973874,6,nm7511702,actor,,
tt8973874,7,nm0840749,actress,,
tt8973874,8,nm7813726,director,,
tt8973874,9,nm7855794,writer,,
tt8973874,10,nm0422988,writer,,
tt8973876,1,nm1352896,actress,,
tt8973876,2,nm7813726,actor,,
tt8973876,3,nm0215817,actress,,
tt8973876,4,nm7673029,actress,,
tt8973876,5,nm0699927,actor,,
tt8973876,6,nm7511702,actor,,
tt8973876,7,nm0840749,actress,,
tt8973876,8,nm7813726,director,,
tt8973876,9,nm7855794,writer,,
tt8973876,10,nm0422988,writer,,
tt8973878,1,nm10039075,self,,"[""Self - Host""]"
tt8973878,2,nm4778088,self,,"[""Self""]"
tt8973880,1,nm1352896,actress,,
tt8973880,2,nm7813726,actor,,
tt8973880,3,nm0215817,actress,,
tt8973880,4,nm7673029,actress,,
tt8973880,5,nm0699927,actor,,
tt8973880,6,nm7511702,actor,,
tt8973880,7,nm0840749,actress,,
tt8973880,8,nm7813726,director,,
tt8973880,9,nm7855794,writer,,
tt8973880,10,nm0422988,writer,,
tt8973882,1,nm1352896,actress,,
tt8973882,2,nm7813726,actor,,
tt8973882,3,nm0215817,actress,,
tt8973882,4,nm7673029,actress,,
tt8973882,5,nm0699927,actor,,
tt8973882,6,nm7511702,actor,,
tt8973882,7,nm0840749,actress,,
tt8973882,8,nm7813726,director,,
tt8973882,9,nm7855794,writer,,
tt8973882,10,nm0422988,writer,,
tt8973884,1,nm1352896,actress,,
tt8973884,2,nm7813726,actor,,
tt8973884,3,nm0215817,actress,,
tt8973884,4,nm7673029,actress,,
tt8973884,5,nm0699927,actor,,
tt8973884,6,nm7511702,actor,,
tt8973884,7,nm0840749,actress,,
tt8973884,8,nm7813726,director,,
tt8973884,9,nm7855794,writer,,
tt8973884,10,nm0422988,writer,,
tt8973886,1,nm0105724,self,,"[""Self - Host""]"
tt8973886,2,nm8971461,self,,"[""Themselves""]"
tt8973886,3,nm8675061,self,,"[""Self""]"
tt8973886,4,nm10109288,self,,"[""Self - Author""]"
tt8973886,5,nm3003016,self,,"[""Self""]"
tt8973886,6,nm0717493,self,,"[""Self""]"
tt8973886,7,nm9017424,self,,"[""Self""]"
tt8973888,1,nm1352896,actress,,
tt8973888,2,nm7813726,actor,,
tt8973888,3,nm0215817,actress,,
tt8973888,4,nm7673029,actress,,
tt8973888,5,nm0699927,actor,,
tt8973888,6,nm7511702,actor,,
tt8973888,7,nm0840749,actress,,
tt8973888,8,nm7813726,director,,
tt8973888,9,nm7855794,writer,,
tt8973888,10,nm0422988,writer,,
tt8973890,1,nm1352896,actress,,
tt8973890,2,nm7813726,actor,,
tt8973890,3,nm0215817,actress,,
tt8973890,4,nm7673029,actress,,
tt8973890,5,nm0699927,actor,,
tt8973890,6,nm7511702,actor,,
tt8973890,7,nm0840749,actress,,
tt8973890,8,nm7813726,director,,
tt8973890,9,nm7855794,writer,,
tt8973890,10,nm0422988,writer,,
tt8973892,1,nm1352896,actress,,
tt8973892,2,nm7813726,actor,,
tt8973892,3,nm0215817,actress,,
tt8973892,4,nm7673029,actress,,
tt8973892,5,nm0699927,actor,,
