tconst,averageRating,numVotes
tt13945492,7.1,435
tt13945602,8.4,18
tt13945806,9.2,12
tt13945838,5.8,5
tt13945924,8.1,25
tt13945942,8.1,23
tt13946104,6.9,104
tt13946146,3.4,1128
tt13946372,7.3,13
tt13946374,7.5,11
tt13946376,7.1,10
tt13946384,7.9,8
tt13946386,7.9,8
tt13946388,7.9,8
tt13946390,7.8,11
tt13946392,7.6,7
tt13946394,7.5,8
tt13946398,3.4,14
tt13946406,3.6,13
tt13946408,7.8,6
tt13946420,3.6,14
tt13946626,7.9,35
tt13946696,8.9,86
tt13946908,5.1,363
tt13946914,5.6,14
tt13946922,5.7,15
tt13946940,5.1,16
tt1394695,7.0,30
tt13946970,8.7,7
tt1394700,7.6,26
tt1394706,7.5,1272
tt1394712,6.8,35
tt1394716,7.0,7
tt1394721,9.2,7
tt1394725,8.0,7
tt1394730,8.0,8
tt13947328,5.4,15
tt1394737,6.4,33
tt1394741,7.2,6
tt13947452,9.7,10
tt13947590,4.0,16
tt13947594,5.2,17
tt13947666,10.0,6
tt13947670,8.5,696
tt13947742,8.3,9
tt13947774,7.8,7
tt13947788,7.6,7
tt1394785,9.6,12
tt13947852,5.6,28
tt13947856,5.2,27
tt13947858,5.8,850
tt13947866,5.4,23
tt13947870,4.7,28
tt13947874,5.2,24
tt13947882,9.6,7
tt1394790,5.0,106
tt1394791,7.0,35
tt1394792,6.9,34
tt1394793,6.4,36
tt1394794,7.1,22
tt1394795,5.6,20
tt1394797,7.1,45
tt13947978,7.2,429
tt1394804,7.8,7
tt13948194,8.4,15
tt13948256,6.9,8
tt13948394,5.7,82
tt13948444,7.3,90
tt13948480,5.3,18
tt1394850,8.9,5305
tt1394851,7.6,239
tt13948522,8.3,12
tt13948614,7.8,5
tt13948636,6.7,55
tt13948762,7.7,19443
tt13948782,6.0,8
tt13948792,7.3,21
tt13948814,6.7,21
tt1394884,6.0,20
tt1394886,7.5,93
tt1394887,7.0,12
tt1394888,7.2,12
tt1394889,7.1,12
tt1394890,7.3,12
tt1394891,7.3,12
tt1394892,7.4,12
tt1394893,7.3,12
tt1394894,7.3,12
tt1394895,7.4,12
tt13948954,8.2,6
tt1394896,7.4,12
tt13949040,6.2,47
tt13949068,6.5,76
tt13949112,7.4,151
tt13949114,6.4,11
tt13949126,8.0,56
tt13949158,7.3,13
tt13949162,7.2,12
tt13949164,5.2,14
tt13949166,6.5,17
tt13949170,6.7,13
tt1394921,2.4,6
tt1394932,7.1,10
tt1394933,7.7,1277
tt13949334,8.2,18
tt1394935,7.2,1094
tt13949358,6.3,64
tt1394936,7.0,940
tt1394937,7.2,1003
tt1394938,8.0,1084
tt1394939,7.1,927
tt13949396,7.3,12
tt13949444,6.6,12
tt13949470,4.6,6
tt13949538,5.7,11
tt13949572,8.8,12
tt13949590,8.0,160
tt13949602,5.5,10
tt13949680,7.6,7
tt13949696,7.5,43
tt13949698,5.1,14
tt13949710,9.7,6
tt13949726,5.7,9
tt13949800,7.2,18
tt13949812,7.9,50
tt13949814,8.9,70
tt13949820,6.9,281
tt13949852,6.2,7
tt13949854,5.9,19
tt13949916,5.4,10
tt1394994,6.8,68
tt13949958,4.8,8
tt1394998,8.1,69
tt1394999,8.2,1834
tt1395001,7.7,197
tt1395002,6.6,18
tt13950020,5.5,25
tt13950034,6.8,1875
tt1395012,6.1,45
tt1395015,6.5,55
tt13950160,10.0,7
tt13950170,8.3,12
tt13950188,7.4,9
tt1395022,6.6,52
tt1395023,4.2,21
tt1395024,7.8,113
tt1395025,5.2,8313
tt1395026,8.4,18
tt1395027,8.2,8
tt1395028,8.3,13
tt1395029,8.2,7
tt1395030,8.2,705
tt1395032,7.6,11
tt1395033,5.2,37
tt13950332,6.8,473
tt13950336,5.2,40
tt1395034,7.5,531
tt1395035,6.6,7
tt1395036,6.6,57
tt1395037,5.2,143
tt1395041,6.1,99
tt1395042,7.2,40
tt13950434,3.1,9
tt13950436,5.6,57
tt1395046,5.1,28
tt13950468,3.3,9
tt13950476,3.7,9
tt13950482,4.1,10
tt1395049,7.8,50
tt13950494,3.6,11
tt1395050,5.6,229
tt13950502,4.1,12
tt1395051,5.2,13
tt13950516,8.4,10
tt1395052,6.2,24
tt1395053,7.4,14
tt1395054,7.4,19378
tt1395055,7.4,71
tt1395057,5.5,17
tt13950572,3.6,6
tt13950588,6.2,58
tt1395059,7.2,587
tt13950594,7.3,10
tt13950598,6.8,47
tt1395063,4.6,27
tt1395065,5.1,180
tt1395066,7.6,996
tt1395069,4.1,16
tt1395070,7.6,13
tt1395071,7.2,10
tt1395072,9.0,13
tt1395073,8.3,34
tt1395074,7.3,14
tt1395075,7.0,7
tt1395079,7.4,94
tt1395080,8.1,37
tt13950908,7.8,13
tt1395093,7.2,15
tt1395094,6.3,56
tt13950942,7.8,9
tt1395097,6.7,13
tt13950986,7.6,20
tt13951002,4.3,36
tt1395101,6.3,14
tt1395104,7.0,47
tt1395105,5.4,15
tt13951052,6.9,2747
tt13951056,9.3,14
tt1395106,7.4,9
tt13951066,5.8,24
tt1395107,7.6,9
tt1395108,2.5,10
tt13951094,7.1,12
tt13951142,7.2,8
tt1395115,6.3,25
tt1395116,4.0,6
tt13951186,6.8,10
tt13951214,6.1,31
tt1395126,7.8,5
tt1395135,6.5,2159
tt1395136,7.4,184
tt13951362,8.7,385
tt1395138,5.6,7
tt1395139,4.2,9
tt1395140,5.0,13
tt13951414,7.8,65
tt1395142,8.1,34
tt13951426,5.3,11
tt1395143,6.2,6
tt13951432,5.4,11
tt1395144,9.2,8
tt1395145,8.4,18
tt1395146,5.3,736
tt1395147,5.2,317
tt1395150,4.2,26
tt13951514,6.1,18
tt1395152,7.1,39
tt13951522,6.8,19
tt13951528,8.6,8
tt1395153,4.6,32
tt1395155,7.4,9
tt1395157,5.7,6
tt1395159,8.0,9
tt13951594,3.2,12
tt13951596,3.5,11
tt1395160,9.2,39
tt13951600,3.3,11
tt13951602,3.3,12
tt13951618,3.5,13
tt13951636,6.6,35
tt1395164,7.6,68
tt1395165,4.5,588
tt13951652,8.6,39
tt1395166,9.1,17
tt1395168,8.3,17
tt1395169,8.2,29
tt1395170,7.8,16
tt13951712,5.9,15
tt13951714,6.4,16
tt13951716,6.1,17
tt13951718,5.9,17
tt13951720,6.3,22
tt13951724,9.5,89
tt1395175,6.9,15
tt1395177,6.6,27
tt1395180,5.9,51
tt13951808,8.0,9
tt1395182,8.1,8
tt13951824,4.3,9
tt13951826,7.0,6
tt1395183,6.1,424
tt13951838,6.9,7
tt1395184,8.8,9
tt13951850,7.3,7
tt13951854,6.5,11
tt13951856,6.2,11
tt1395186,6.2,9
tt13951868,6.6,517
tt13951924,7.0,9
tt13951936,9.5,84
tt1395194,7.7,33
tt13951954,5.2,17
tt13951958,8.1,99
tt13951960,8.3,7407
tt13951970,7.8,214
tt13952006,4.7,16
tt1395201,8.2,13
tt13952038,7.4,13
tt13952042,5.7,15
tt1395210,6.8,13
tt13952106,3.8,6
tt13952108,8.7,17
tt13952124,4.5,10
tt1395214,7.4,11
tt1395215,4.9,15
tt13952162,5.9,10
tt13952164,5.6,11
tt1395220,7.3,7
tt13952250,7.4,5
tt1395226,8.5,25
tt13952306,5.9,546
tt1395235,8.1,17
tt1395236,8.7,13
tt1395248,5.9,8
tt1395249,7.9,14
tt13952518,7.6,13
tt1395252,7.0,8
tt1395256,5.7,34
tt1395259,8.3,10
tt1395261,7.7,39
tt1395262,8.3,15
tt1395263,8.4,11
tt13952664,9.2,38
tt1395269,8.0,47
tt1395273,6.1,8
tt1395278,6.9,11
tt1395279,4.5,41
tt1395286,7.7,8
tt13952880,5.9,43
tt1395289,8.4,17
tt1395292,7.6,181
tt1395294,8.0,12
tt1395296,6.3,57
tt13952962,6.6,44
tt13953018,6.4,10
tt13953182,7.9,42
tt13953358,7.9,7
tt13953380,7.9,7
tt13953386,8.3,7
tt13953390,6.2,5
tt13953396,8.0,7
tt13953408,8.4,7
tt1395342,6.2,5
tt13953428,4.5,303
tt1395343,6.2,5
tt13953430,8.4,7
tt13953448,8.5,6
tt1395345,6.4,5
tt1395348,5.2,229
tt13953504,5.0,31
tt1395362,7.8,244
tt13953638,5.5,212
tt13953742,6.2,13
tt13953828,5.7,12
tt1395384,6.1,1009
tt13953950,5.5,12
tt13954010,6.6,59
tt13954082,9.3,19
tt13954402,6.8,44
tt1395451,7.8,8
tt13954572,7.8,17
tt1395461,6.7,64
tt13954634,6.5,36
tt13954638,8.0,9
tt1395464,8.2,90
tt1395465,7.4,12
tt1395466,7.2,8
tt1395467,7.2,7
tt13954674,6.5,40
tt13954676,7.4,14
tt1395468,7.0,7
tt13954692,6.9,38
tt13954746,6.8,32
tt13954752,6.6,33
tt13954788,6.4,34
tt13954796,4.1,13
tt13954840,7.1,1456
tt13954854,8.4,12
tt13954858,8.4,13
tt13954860,8.5,13
tt13954864,8.7,12
tt13954876,6.4,14
tt13954888,8.7,12
tt13954894,8.1,13
tt13954928,7.8,12
tt1395495,5.7,8
tt1395496,7.0,11
tt13954968,7.9,19
tt13954974,8.6,12
tt1395498,6.2,198
tt13954994,8.2,13
tt13954996,8.2,13
tt13955000,8.5,12
tt13955016,5.5,229
tt1395502,7.3,36
tt1395505,8.6,131
tt13955052,7.0,134
tt13955190,5.0,30
tt13955196,6.8,55
tt13955212,9.1,21
tt13955216,8.4,248
tt1395529,8.2,3733
tt1395530,8.3,25
tt1395546,7.1,450
tt13955466,7.8,10
tt1395555,8.4,3642
tt1395557,5.7,10
tt1395558,6.6,9
tt13955594,7.1,11
tt13955680,8.1,16
tt13955788,9.3,11
tt13956026,8.3,11
tt13956322,5.7,7
tt13956324,7.3,9
tt13956350,4.6,5
tt13956352,7.8,365
tt13956358,8.2,375
tt13956372,7.7,24
tt13956374,7.7,360
tt13956428,7.1,32
tt13956452,7.5,2404
tt13956466,7.1,1413
tt13956470,8.9,40
tt13956548,6.5,1015
tt13956560,6.4,2748
tt13956614,5.0,191
tt13956670,7.8,69
tt13956680,7.8,67
tt13956684,7.8,66
tt13956694,8.2,6
tt13956724,7.4,391
tt13956726,6.2,35
tt13956730,6.5,31
tt13956732,7.5,111
tt13956738,6.2,29
tt13956744,6.2,28
tt13956748,6.4,28
tt13956756,6.2,29
tt13956760,7.5,7
tt13956762,7.7,7
tt13956764,7.7,7
tt13956766,7.5,7
tt13956768,7.7,7
tt13956770,7.5,7
tt13956772,7.5,7
tt13956774,7.5,7
tt13956776,7.7,7
tt13956778,8.0,8
tt13956780,8.2,7
tt13956782,7.8,7
tt13956784,8.2,6
tt13956786,7.6,6
tt13956788,7.6,6
tt13956790,7.6,6
tt13956792,7.6,6
tt13956794,7.2,6
tt13956796,7.6,6
tt13956798,7.6,6
tt13956800,8.0,6
tt13956802,8.0,6
tt13956804,8.0,6
tt1395681,7.1,29
tt13956810,7.6,6
tt13956858,8.6,195
tt13956862,8.9,187
tt13956868,8.8,188
tt13956870,9.1,187
tt13956874,8.9,192
tt13956880,8.9,187
tt13956954,7.5,6
tt13956956,7.5,6
tt13956968,6.9,69
tt13956972,7.0,69
tt1395699,8.6,15
tt1395700,7.4,6
tt13957000,7.0,5
tt13957024,4.6,100
tt13957038,7.5,371
tt13957048,8.4,60
tt1395705,8.0,26
tt13957076,4.7,8
tt13957102,8.2,32
tt13957112,5.9,7
tt13957190,7.3,7
tt13957200,7.6,35
tt13957230,7.4,8
tt1395728,5.2,6
tt13957312,5.0,27
tt1395733,10.0,14
tt1395735,6.5,27
tt13957352,6.8,11
tt13957360,7.6,14
tt1395738,7.2,1175
tt1395739,8.6,6
tt13957406,4.0,6
tt13957416,8.3,21
tt13957418,6.4,16
tt1395749,6.1,9
tt13957560,6.8,58413
tt1395766,8.1,9
tt1395767,5.3,64
tt13957812,7.8,20
tt13957818,7.4,27
tt13957822,7.7,29
tt13957828,7.7,18
