tconst,parentTconst,seasonNumber,episodeNumber
tt0020666,tt15180956,1,2
tt0020829,tt15180956,1,1
tt0021166,tt15180956,1,3
tt0021612,tt15180956,2,2
tt0021655,tt15180956,2,5
tt0021663,tt15180956,2,6
tt0021664,tt15180956,2,4
tt0021701,tt15180956,2,1
tt0021802,tt15180956,2,11
tt0022009,tt15180956,2,10
tt0022031,tt15180956,2,8
tt0022127,tt15180956,2,9
tt0022152,tt15180956,2,7
tt0022385,tt15180956,2,3
tt0022604,tt15180956,3,8
tt0022610,tt15180956,3,10
tt0022631,tt15180956,3,1
tt0022666,tt15180956,3,11
tt0022667,tt15180956,3,17
tt0022668,tt15180956,3,15
tt0022669,tt15180956,3,13
tt0022670,tt15180956,3,19
tt0022671,tt15180956,3,16
tt0022704,tt15180956,3,2
tt0022758,tt15180956,3,9
tt0022786,tt15180956,3,6
tt0022800,tt15180956,3,7
tt0023045,tt15180956,3,18
tt0023227,tt15180956,3,4
tt0023408,tt15180956,3,3
tt0023417,tt15180956,3,5
tt0023514,tt15180956,3,12
tt0023797,tt15180956,4,8
tt0023798,tt15180956,4,6
tt0023799,tt15180956,4,2
tt0023800,tt15180956,4,14
tt0023801,tt15180956,4,1
tt0023802,tt15180956,4,7
tt0023803,tt15180956,4,4
tt0024154,tt15180956,4,12
tt0024187,tt15180956,4,3
tt0024354,tt15180956,4,13
tt0024355,tt15180956,4,9
tt0024404,tt15180956,4,11
tt0024428,tt15180956,4,15
tt0024461,tt15180956,4,10
tt0024877,tt15180956,5,7
tt0024878,tt15180956,5,10
tt0024879,tt15180956,5,11
tt0024880,tt15180956,5,5
tt0024881,tt15180956,5,6
tt0024882,tt15180956,5,4
tt0025213,tt15180956,5,3
tt0025343,tt15180956,5,12
tt0025665,tt15180956,5,8
tt0025705,tt15180956,5,2
tt0025778,tt15180956,5,1
tt0025877,tt15180956,5,9
tt0025979,tt15180956,5,13
tt0026091,tt15180956,6,1
tt0026109,tt15180956,6,8
tt0026110,tt15180956,6,11
tt0026553,tt15180956,6,9
tt0026601,tt15180956,6,7
tt0026640,tt15180956,6,6
tt0026669,tt15180956,6,10
tt0026788,tt15180956,6,5
tt0027045,tt15180956,6,3
tt0027061,tt15180956,6,4
tt0027074,tt15180956,6,2
tt0027339,tt15180956,7,11
tt0027352,tt15180956,7,3
tt0027353,tt15180956,7,1
tt0027691,tt15180956,7,10
tt0027717,tt15180956,7,8
tt0027895,tt15180956,6,12
tt0027933,tt15180956,7,12
tt0027984,tt15180956,7,6
tt0028042,tt15180956,7,2
tt0028279,tt15180956,7,5
tt0028403,tt15180956,7,9
tt0028482,tt15180956,7,4
tt0028526,tt15180956,7,7
tt0028685,tt15180956,8,8
tt0028787,tt15180956,8,7
tt0028894,tt15180956,8,11
tt0029022,tt15180956,8,3
tt0029027,tt15180956,8,1
tt0029046,tt15180956,8,6
tt0029302,tt15180956,8,10
tt0029447,tt15180956,8,5
tt0029448,tt15180956,8,4
tt0029538,tt15180956,8,9
tt0029773,tt15180956,8,2
tt0029820,tt15180956,8,12
tt0029903,tt15180956,9,2
tt0029955,tt15180956,9,7
tt0029956,tt15180956,9,9
tt0030244,tt15180956,9,3
tt0030524,tt15180956,9,11
